   5.4371202663337492e-01	   5.3642946317103612e-01	   5.2734914689970869e-01	   5.2119017894298791e-01	   5.1585518102372019e-01	   5.0878901373283392e-01	   5.0406991260923839e-01	   5.0131086142322101e-01	
   5.1820640865584688e-01	   5.1077819392426138e-01	   5.0359966708281312e-01	   4.9525593008739077e-01	   4.9013732833957552e-01	   4.8325010403662089e-01	   4.7667498959633797e-01	   4.7322929671244279e-01	
   5.1080316271327508e-01	   5.0385351643778620e-01	   4.9712442779858512e-01	   4.9381606325426552e-01	   4.8851019558884728e-01	   4.8203079483978362e-01	   4.7891385767790268e-01	   4.7734082397003746e-01	
   5.3028297960882231e-01	   5.2587182688306289e-01	   5.1534332084893875e-01	   5.1138992925509785e-01	   5.0531419059508953e-01	   5.0057844361215142e-01	   4.9598002496878907e-01	   4.9154806491885145e-01	
   5.6629213483146068e-01	   5.5919683728672487e-01	   5.5164377861007075e-01	   5.4240532667498964e-01	   5.3628797336662504e-01	   5.3379109446525186e-01	   5.3017062005826043e-01	   5.2771535580524342e-01	
   5.1038285476487721e-01	   5.0412817311693714e-01	   4.9814398668331256e-01	   4.8956720765709533e-01	   4.8213066999583853e-01	   4.7697045359966711e-01	   4.7176862255513941e-01	   4.6781939242613402e-01	
   5.5486891385767789e-01	   5.4517270079067837e-01	   5.3911776945484813e-01	   5.3401997503121090e-01	   5.2902621722846432e-01	   5.2282563462338738e-01	   5.1724927174365376e-01	   5.1279650436953805e-01	
   5.6783187682064096e-01	   5.5792759051186014e-01	   5.5191427382438629e-01	   5.4806491885143571e-01	   5.4155222638368716e-01	   5.3458177278401997e-01	   5.2933832709113604e-01	   5.2409488139825222e-01	
   5.4875156054931340e-01	   5.4176029962546812e-01	   5.3335414065751152e-01	   5.2734082397003745e-01	   5.2501040366208906e-01	   5.1955888472742395e-01	   5.1210986267166048e-01	   5.0865584685809406e-01	
   5.2848522679983345e-01	   5.1960049937578023e-01	   5.1555971702039116e-01	   5.0968789013732840e-01	   5.0473574698293799e-01	   5.0033291718684980e-01	   4.9787765293383268e-01	   4.9372451102788184e-01	
   5.5301706200582601e-01	   5.4494382022471899e-01	   5.3942987931751984e-01	   5.3322929671244268e-01	   5.2642114024136499e-01	   5.2096962130669988e-01	   5.1849354972950490e-01	   5.1385351643778621e-01	
   5.1600499375780284e-01	   5.1144818976279649e-01	   5.0399500624219729e-01	   4.9675821889305039e-01	   4.9220141489804414e-01	   4.8914273824386184e-01	   4.8404494382022467e-01	   4.8169371618809831e-01	
   5.2826883062838126e-01	   5.2248439450686635e-01	   5.1873907615480641e-01	   5.1462338743237623e-01	   5.0742821473158561e-01	   5.0280898876404490e-01	   4.9892634207240955e-01	   4.9424053266749896e-01	
   5.5880982105701205e-01	   5.5204744069912615e-01	   5.4634623387432379e-01	   5.4045776113191835e-01	   5.3551394090719939e-01	   5.2864752392842285e-01	   5.2294631710362049e-01	   5.1936745734498546e-01	
   5.4873075322513520e-01	   5.4255097794423635e-01	   5.3512276321265095e-01	   5.2919267582188922e-01	   5.2311693716188101e-01	   5.1912193091968362e-01	   5.1440699126092382e-01	   5.1032459425717847e-01	
   5.3658759883478968e-01	   5.2874739908447765e-01	   5.2111943404078243e-01	   5.1313358302122347e-01	   5.0751560549313357e-01	   5.0287557220141499e-01	   4.9933832709113612e-01	   4.9711194340407838e-01	
   5.2749479816895539e-01	   5.1947149396587600e-01	   5.1441531419059516e-01	   5.0917186849771112e-01	   5.0200582605076982e-01	   4.9409071993341658e-01	   4.8935497295047853e-01	   4.8416978776529340e-01	
   5.2826050769870991e-01	   5.1642946317103611e-01	   5.0935081148564287e-01	   5.0514773200166452e-01	   4.9860174781523098e-01	   4.9505201831044532e-01	   4.8908031627132759e-01	   4.8461506450270492e-01	
   4.5503537245110276e-01	   4.5150645027049524e-01	   4.4857677902621729e-01	   4.4610903037869332e-01	   4.4409071993341659e-01	   4.4127756970453597e-01	   4.4015397419891800e-01	   4.3634623387432375e-01	
   5.0760299625468175e-01	   4.9986267166042447e-01	   4.9574282147315857e-01	   4.9147732001664585e-01	   4.8533915938410321e-01	   4.8062421972534336e-01	   4.7109030378693295e-01	   4.6635455680399501e-01	
   5.0375780274656679e-01	   5.0112359550561802e-01	   4.9769870994590104e-01	   4.9551394090719930e-01	   4.9350395339159381e-01	   4.9073657927590514e-01	   4.8819392426134001e-01	   4.8650853100291302e-01	
   4.9451102788181434e-01	   4.8791510611735323e-01	   4.8114856429463171e-01	   4.7776529338327084e-01	   4.7503953391593839e-01	   4.6792759051186023e-01	   4.6280066583437368e-01	   4.5771119434040786e-01	
   5.0668747399084479e-01	   4.9794839783603834e-01	   4.8866000832292972e-01	   4.8119434040782361e-01	   4.7686641697877657e-01	   4.7376612567623805e-01	   4.6873907615480648e-01	   4.6363295880149813e-01	
   5.5862255513940906e-01	   5.4680399500624222e-01	   5.3977111943404088e-01	   5.3318352059925100e-01	   5.3066583437369952e-01	   5.2662921348314606e-01	   5.2311277569704540e-01	   5.2092800665834371e-01	
   5.4191427382438606e-01	   5.3219725343320845e-01	   5.2687890137328330e-01	   5.1818143986683307e-01	   5.1108198085726175e-01	   5.0551394090719937e-01	   5.0308364544319606e-01	   4.9999167707032882e-01	
   5.3443612151477315e-01	   5.2707032875572213e-01	   5.1853932584269657e-01	   5.1416978776529343e-01	   5.0753225135247604e-01	   5.0447357469829368e-01	   5.0031210986267161e-01	   4.9554723262588429e-01	
   5.3618393674573461e-01	   5.2996254681647936e-01	   5.2207240948813982e-01	   5.1755305867665424e-01	   5.1410736579275906e-01	   5.0998751560549316e-01	   5.0541406575114445e-01	   5.0064918851435702e-01	
   4.6919267582188934e-01	   4.6249271743653764e-01	   4.5716188098210570e-01	   4.5313358302122342e-01	   4.4389096962130670e-01	   4.3786516853932583e-01	   4.3449438202247187e-01	   4.3288805659592178e-01	
   5.3421556387848523e-01	   5.2662089055347483e-01	   5.2140657511444022e-01	   5.1456928838951310e-01	   5.0961714523512280e-01	   5.0518934665002080e-01	   5.0037869330004159e-01	   4.9739908447773618e-01	
   5.4338327091136085e-01	   5.3474823137744487e-01	   5.2519350811485643e-01	   5.1833541406575112e-01	   5.1619225967540583e-01	   5.1153141905950894e-01	   5.0736995422388687e-01	   4.9985434873075324e-01	
   5.5345401581356646e-01	   5.4173949230129015e-01	   5.3695380774032464e-01	   5.3220973782771530e-01	   5.2773616312942162e-01	   5.2478152309612980e-01	   5.2120266333749476e-01	   5.1662505201831033e-01	
   4.9431127756970450e-01	   4.8744486059092801e-01	   4.8196421140241369e-01	   4.7744486059092794e-01	   4.7173949230129003e-01	   4.6583437369954228e-01	   4.6180191427382439e-01	   4.5634207240948815e-01	
   5.3986683312526007e-01	   5.3166874739908443e-01	   5.2449022055763617e-01	   5.1639617145235117e-01	   5.1034540158135655e-01	   5.0625884311277569e-01	   5.0241364960466084e-01	   4.9858926342072413e-01	
   5.5049937578027464e-01	   5.4066999583853526e-01	   5.3394923012900553e-01	   5.2895547232625884e-01	   5.2352476071577192e-01	   5.1937994173949231e-01	   5.1492717436537672e-01	   5.1344985434873081e-01	
   5.3455680399500627e-01	   5.2603412401165206e-01	   5.2018726591760311e-01	   5.1719101123595501e-01	   5.1006242197253437e-01	   5.0477320016645866e-01	   5.0150645027049523e-01	   4.9946733250104042e-01	
   5.4480649188514352e-01	   5.3692051602163959e-01	   5.2964211402413652e-01	   5.2484394506866416e-01	   5.1868913857677901e-01	   5.1274656679151065e-01	   5.0930087390761558e-01	   5.0599250936329587e-01	
   5.0555555555555554e-01	   4.9668331252600917e-01	   4.9118185601331665e-01	   4.8852267998335408e-01	   4.8019142738243864e-01	   4.7327507282563458e-01	   4.6930503537245111e-01	   4.6581772784019970e-01	
   5.5950894714939647e-01	   5.5099875156054934e-01	   5.4436121514773206e-01	   5.3890969621306706e-01	   5.3576779026217225e-01	   5.3059508947149392e-01	   5.2668331252600920e-01	   5.2429047024552644e-01	
